model,ticker,step,lookback,units,window,seed,rmse_train,mae_train,mape_train,rmse_test,mae_test,mape_test,train_time_s,infer_time_train_s,infer_time_test_s,ts
FuzzyMomentum,CHF=X,1d,1,16,10,42,0.0072833635379859,0.004807440098375,0.4606116414070129,0.0044859682201188,0.0032896369230002,0.3691741228103637,71.07491254806519,2.190520763397217,0.1714775562286377,1777049695.975706
FuzzyTrend,CHF=X,1d,1,16,10,42,0.0073306068238921,0.0048742117360234,0.465457946062088,0.004771335443627,0.0035431787837296,0.4009535014629364,74.09316563606262,0.7614247798919678,0.178530216217041,1777049817.276688
FuzzyVolatility,CHF=X,1d,1,16,10,42,0.0073343809974711,0.0048702987842261,0.4643395543098449,0.0045607104890485,0.00334855588153,0.3765788972377777,72.93170738220215,0.7871460914611816,0.1573560237884521,1777049910.2699687
FuzzyAll,CHF=X,1d,1,16,10,42,0.007268220943814,0.0048133260570466,0.4610265493392944,0.0046310293222582,0.0034039898309856,0.3834486305713653,73.94773125648499,0.8663077354431152,0.1631233692169189,1777050020.2942984
FuzzyBasic,JPY=X,1d,1,16,10,42,0.8387691986797499,0.5476706624031067,0.5035451650619507,0.7663704104506199,0.5338005423545837,0.4015088975429535,87.7149384021759,0.8754556179046631,0.2192521095275879,1777050193.7717896
FuzzyMomentum,JPY=X,1d,1,16,10,42,0.8365902357665645,0.5487936735153198,0.5053669810295105,0.7721190726923625,0.539387583732605,0.4044771790504455,94.30272436141968,1.293598175048828,0.4160811901092529,1777050374.3909364
FuzzyTrend,JPY=X,1d,1,16,10,42,0.8259042076302959,0.5555182099342346,0.5135825872421265,0.7685569365685405,0.5350112915039062,0.4020064175128937,95.94562482833862,1.053858757019043,0.1907455921173095,1777050515.4222798
FuzzyVolatility,JPY=X,1d,1,16,10,42,0.8312591050301869,0.5574895739555359,0.5160207152366638,0.7676869089630071,0.536139965057373,0.4029407501220703,102.79128503799438,1.082794189453125,0.417412519454956,1777050638.1767085
FuzzyAll,JPY=X,1d,1,16,10,42,0.805539134194359,0.546215295791626,0.5027027130126953,0.7696347239680668,0.5366495251655579,0.4025814235210418,96.12876558303832,1.431847095489502,0.2896044254302978,1777050753.6095693
FuzzyBasic,GBPUSD=X,1d,1,16,10,42,0.0094807975111425,0.006912303622812,0.4382969439029693,0.0066309484767615,0.0049734166823327,0.3884547650814056,76.50714921951294,0.7632303237915039,0.1723253726959228,1777050876.192311
